sum_title,product,ASIN,rating,review_count,price
"Tamron AF 18-200mm f/3.5-6.3 XR Di II LD Aspherical (IF) Macro Zoom Lens for Canon Digital SLR Cameras (Model A14E) - International Version (No Warranty)",camera,B0007XD4LC,4.2,2065,348.57
"OP/TECH USA Classic Strap (Forest)",camera,B00092HNE0,4.5,13,11.67
"Nikon D70S 6.1MP Digital SLR Camera (Body Only)",camera,B0009I4VE4,3.9,109,699.95
"Tokina at-X 100mm f/2.8 PRO D Macro Lens for Canon EOS Digital and Film Cameras",camera,B000BZIO0M,4.5,215,399
"Sigma 15mm f/2.8 EX DG Diagonal Fisheye Lens for Canon SLR Cameras",camera,B000CDC79M,4.6,209,609
"Sony DT 11-18mm f/4.5-5.6 Aspherical ED Super Wide Angle Zoom Lens for Sony Alpha Digital SLR Camera",camera,B000DZH7JO,4.5,26,798
"Sony DT 18-70mm f/3.5-5.6 Aspherical ED Standard Zoom Lens for Sony Alpha Digital SLR Camera",camera,B000DZH7TO,3.6,58,289.95
"Canon EF-S 17-55mm f/2.8 IS USM Lens for Canon DSLR Cameras, Lens Only",camera,B000EW8074,4.7,450,729
"Tamron AF 17-50mm F/2.8 XR Di-II LD SP Aspherical (IF) Zoom Lens for Konica Minolta and Sony Digital SLR Cameras (Model A16M)",camera,B000EXOXUQ,3.9,759,299
"Sigma 70mm F/2.8 EX DG Macro Lens for Canon Digital SLR Cameras",camera,B000GPHQWO,3.8,129,549.99
"Slik Pro Trigger Release Ball Head for Digital SLR Cameras",camera,B000H46O4U,4,53,109.95
"Tamron Auto Focus 70-300mm f/4.0-5.6 Di LD Macro Zoom Lens for Canon Digital SLR Cameras (Model A17E)",camera,B000HDZAUA,4.2,2527,169
"Nikon MB-D80 Multi-Power Battery Pack for the Nikon D80 & D90 Digital SLR Camera - Retail Packaging",camera,B000HJ5N2Y,4.4,254,149.95
"Canon EF 50mm f/1.2 L USM Lens for Canon Digital SLR Cameras - Fixed",camera,B000I1YIDQ,4.7,326,1299
"Sony FAMC1AM Multi Flash Cable for Sony Alpha Digital SLR Camera",camera,B000JC5KC2,5,4,59.99
"Sony RML1AM Remote Commander Shutter Release Cable for Sony Alpha Digital SLR Camera",camera,B000JC5SOM,4.7,36,56.95
"Sony SAL-135F18Z 135mm f/1.8 Carl Zeiss Sonnar T Telephoto Lens for Sony Alpha Digital SLR Camera",camera,B000JE5CIC,4.7,35,1798
"Sony 16-80mm f/3.5-4.5 Carl Zeiss Vario-Sonnar T DT Zoom Lens for Sony Alpha Digital SLR Camera",camera,B000JE5CKA,4.1,62,998
"Pentax BG2 Battery Grip for Pentax K10D and K20D DSLR Cameras (Retail Packaging)",camera,B000JFQ3ZC,3.9,56,134.99
"Manfrotto 323 RC2 Rapid Connect Adapter with 200PL-14 Quick Release Plate - Replaces 3299-Black",camera,B000JLK5PU,4.6,921,34.4
"Bower SFD35N Digital Autofocus Flash for Nikon D2X/200/3X/40X/50/60/70/80/90/5000/5100/700/7000, Digital SLR Cameras",camera,B000K9UYAC,3.4,29,74.99
"Lowepro Apex 30 AW Compact Camera Bag A Protective Camera Pouch For Your Point and Shoot Camera With All Weather Cover",camera,B000KZBOQY,4.1,287,27.32
"Professional Mini Ball Head Camera Mount",camera,B000L47AHG,4.4,614,16.95
"Giottos AA1920 Rocket Air Blaster Small-Black",camera,B000L9OIQ2,4.6,402,14.99
"D-SLR Sensor Cleaning Brush for All DSLR Sensors",camera,B000LQQQZQ,4.2,166,20
"Canon EF 14mm f/2.8L II USM Ultra-Wide Angle Fixed Lens for Canon Digital SLR Cameras",camera,B000V5P94Q,3.9,46,2099
"Davis & Sanford EXPLORERV Vista Explorer 60” Tripod with Tripod Bag, BONUS Smartphone Adapter and 10 Year Warranty",camera,B000V7AF8E,4.1,2018,37.99
"Domke 700-80D F-8 Small Shoulder Bag - Olive Green",camera,B000VJ3BZQ,4.7,15,86.99
"Nikon D300 DX 12.3MP Digital SLR Camera (Body Only)",camera,B000VJX7DW,4.6,280,1099.95
"Olympus Zuiko 14-35mm f/2.0 Digital ED SWD Lens for Olympus Digital SLR Cameras",camera,B000X1P5R4,3.9,16,2299
"Olympus Zuiko 50-200mm f/2.8-3.5 Digital ED SWD Lens for Olympus Digital SLR Cameras",camera,B000X1P5RE,4.3,50,1199
"Olympus Zuiko EC-20 2x Teleconverter for Olympus Digital SLR Cameras",camera,B000X1R6EO,4.2,26,399
"Olympus Evolt E-3 10.1MP Digital SLR Camera with Mechanical Image Stabilization (Body Only)",camera,B000X1T3IQ,4.2,50,590
"Pelican 1510 Case With Padded Dividers (OD Green)",camera,B000YA08DA,4.6,27,237.95
"Lowepro Fastpack 350 DSLR Camera Backpack",camera,B000YIWR8G,4.4,1608,469.99
"Sigma 10mm f/2.8 EX DC HSM Fisheye Lens for Canon Digital SLR Cameras (OLD MODEL)",camera,B000YYDF7W,4.4,111,799
"SLIK Professional II Tripod Legs with Geared Column - Supports 16.00 lb (7.26 kg), for Mirrorless/DSLR Sony Nikon Canon Fuji Cameras and More - Black (616-817)",camera,B0010C9O0O,5,1,357.66
"OP/TECH USA 1301652 Reporter/Backpack - System Connectors",camera,B0010HA68I,4.5,203,8.95
"OP/TECH USA 1301062 Uni-Loop - System Connectors",camera,B0010HA6A6,4.6,404,7.5
"Tamron AF 70-200mm f/2.8 Di LD IF Macro Lens with Built in Motor for Nikon Digital SLR Cameras (Model A001NII)",camera,B0012GDOQS,4.3,286,769
"Sigma 70-300mm f/4-5.6 DG Macro Motorized Telephoto Zoom Lens for Nikon Digital SLR Cameras",camera,B0012X43P2,4.4,3031,169
"OP/TECH USA 6701062 SLR Wrist Strap (Black)",camera,B00137NMMW,4.5,886,8.95
"Billingham Hadley Pro Camera Bag (Black with Black Trim)",camera,B0014E9A2K,4.5,219,259.99
"Sigma 120-400mm f/4.5-5.6 AF APO DG OS HSM Telephoto Zoom Lens for Nikon Digital SLR Cameras",camera,B001542X5K,3.7,173,899
"Sigma 150-500mm f/5-6.3 AF APO DG OS HSM Telephoto Zoom Lens for Nikon Digital SLR Cameras",camera,B001542X64,4.3,812,1099
"Tiffen 58mm Digital HT Multi Coated Circular Polarizer",camera,B00156P1K2,5,13,71.21
"Olympus 25mm f/2.8 Pancake Lens for Olympus Digital SLR Cameras",camera,B0015AOU9Q,3.3,37,249
"Kaiser 205523 rePRO RA 101 Camera Arm (Black)",camera,B0015KJ4CY,5,1,155.44
"Sigma 50mm f/1.4 EX DG HSM Lens for Canon Digital SLR Cameras",camera,B0018ZDGAC,4.2,549,599.95
"Pelican 1510 Case With Padded Dividers (Black)",camera,B0019CSVMW,4.8,2086,237.95
"Ewa-Marine EM U-BXP Underwated Housing for DSLR Cameras  (Clear)",camera,B001AOTJD4,4.1,4,479
"Lowepro Flipside 400 AW Pro DSLR Camera Backpack",camera,B001APFB5S,4.3,486,138.99
"Pentax 17-70mm f/4 DA SMC AL IF SDM Lens for Pentax Digital SLR Cameras",camera,B001AZ8N6M,3.7,42,326.95
"Sigma 120-400mm f/4.5-5.6 AF APO DG HSM Telephoto Zoom Lens for Sony Digital SLR Cameras",camera,B001B8YLZA,4.8,6,998.99
"Nikon PC-E FX Micro NIKKOR 85mm f/2.8D Fixed Zoom Lens for Nikon DSLR Cameras",camera,B001BTAZHM,4.7,13,1976.95
"Nikon D700 12.1MP FX-Format CMOS Digital SLR Camera with 3.0-Inch LCD (Body Only) (OLD MODEL)",camera,B001BTCSI6,4.1,293,1099.95
"Nikon SB-900 AF Speedlight Flash for Nikon Digital SLR Cameras",camera,B001BTG3OQ,4.5,266,499
"Ewa-Marine EM U-BXP100 Underwater Housing for DSLR Cameras (Clear)",camera,B001DEWFHS,5,4,399
"Tamron Auto Focus 18-270mm f/3.5-6.3 Di II VC LD Aspherical IF Macro Zoom Lens with Built in Motor for Nikon DSLR Cameras (Model B003NII) (Discontinued by Manufacturer)",camera,B001DYC0CS,3.9,134,399.95
"Delkin DDSS-SINGLE2 SensorScope DSLR Image Sensor Inspection Device",camera,B001EGY4JW,2.8,30,49.94
"Bower  Digital Autofocus Power Zoom Flash for Canon EOS 7D, 5D, 60D, 50D, Rebel T3, T3i, T2i, T1i, XS Digital SLR Cameras",camera,B001F1XDKW,3.5,5,47.3
"Hoya 58mm HD Digital Circular Polarizing Screw-in Filter",camera,B001GJ33V2,4.5,815,54.14
"Zeikos ZE-HC36 Deluxe Medium Hard Shell Case with Extra Padding Foam for Cameras - Travel, and Storage Case Camera, Gear, Equipment, and Lenses - Canon, Nikon, Sony Alpha and Many More DSLR Cameras",camera,B001HJTK5Y,4.3,809,57.99
"Bower Autofocus Dedicated TTL Power Zoom for Olympus E-620, E-30, E-5, E-3, E-510, E-420, E-510, and E-520 Digital SLR Cameras (SFD926O)",camera,B001JK64L4,3.6,18,124.99
"Bower SFD926C Autofocus Dedicated e-TTL I/II Power Zoom for Canon EOS 7D, 5D, 60D, 50D, Rebel T3, T3i, T2i, T1i, XS Digital SLR Cameras",camera,B001O81HYK,3.4,45,46.52
"ZEISS Classic Planar ZE T 1.4/50 Standard Camera Lens for Canon EF-Mount SLR/DSLR Cameras",camera,B001RL2OF0,3.9,54,725
"Domke 701-83A F-803 Camera Satchel Bag -Brown",camera,B001RNPD42,4.4,59,127.71
