;title;url;rating;review_count;price
13;"TechOrbits Dual Monitor Mount Stand - SmartSWIVEL - Dual Computer Screen Desk Mount Arms - Full Motion Swivel Articulating Gas Springs - Universal Fit for 13"" - 30"" Screens Vesa Mount";https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A0669371D079N7KHSHIM&url=%2FTechOrbits-Dual-Monitor-Mount-Stand%2Fdp%2FB06XWCZF4P%2Fref%3Dsr_1_29_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-29-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_btf;4.5 out of 5 stars;281;99.95
14;Eyoyo 8 Inch HDMI Monitor 1024x768 Resolution Display Portable 4:3 TFT LCD Mini HD Color Video Screen Support HDMI VGA BNC AV Ypbpr Input for PC CCTV Home Security with Mount;https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_electronics-intl-ship_sr_pg2_1?ie=UTF8&adId=A102457830TNH86J6VDXV&url=%2FEyoyo-Monitor-1024x768-Resolution-Portable%2Fdp%2FB01FHDL1DE%2Fref%3Dsr_1_30_sspa%3Fdchild%3D1%26keywords%3Dmonitor%26qid%3D1594132600%26s%3Delectronics%26sr%3D1-30-spons%26psc%3D1&qualifier=1594160447&id=5044327809606559&widgetName=sp_btf;4.1 out of 5 stars;215;62.99
15;"2020 Newest HP 23.8"" Full HD (1920x1080) IPS LED Monitor for Business and Student, Build in Speaker, VESA Mounting, Tilt, HDMI, VGA, 5ms, 16:9 Aspect Ratio, w/Ghost Manta Accessories";https://www.amazon.com/HP-1920x1080-Business-Speaker-Mounting/dp/B087ZX8JBC/ref=sr_1_27?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-27;4.7 out of 5 stars;8;199.99
16;Sceptre IPS 24-Inch Business Computer Monitor 1080p 75Hz with HDMI VGA Build-in Speakers, E248W-FPT, Machine Black;https://www.amazon.com/Sceptre-Business-Computer-Speakers-E248W-FPT/dp/B087QRW81Z/ref=sr_1_28?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-28;4.4 out of 5 stars;84;119.97
17;"Sceptre Curved 27"" 75Hz LED Monitor HDMI VGA Build-in Speakers, Edge-Less Metal Black 2019 (C275W-1920RN)";https://www.amazon.com/Sceptre-Monitor-Speakers-Edge-Less-C275W-1920RN/dp/B07MTRQ6B3/ref=sr_1_29?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-29;4.6 out of 5 stars;1595;217.58
18;"ASUS VE248H 24"" Full HD 1920x1080 2Ms HDMI DVI VGA Back-Lit LED Monitor,Black";https://www.amazon.com/ASUS-VE248H-1920x1080-Back-lit-Monitor/dp/B0043T7FHK/ref=sr_1_30?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-30;4.3 out of 5 stars;2056;114.99
19;LG 32ML600M-B 32” Inch Full HD IPS LED Monitor with HDR 10 - Black;https://www.amazon.com/LG-32ML600M-B-Inch-Full-Monitor/dp/B07PDHSVSW/ref=sr_1_31?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-31;4.2 out of 5 stars;854;199.99
20;"Samsung Business 22"" S22R350FHN 1920x1080, IPS Panel, Thin bezels, VGA/HDMI, Monitor, Black";https://www.amazon.com/Samsung-Business-S22R350FHN-1920x1080-Monitor/dp/B083W8PJPB/ref=sr_1_32?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-32;4.3 out of 5 stars;13;109.99
21;"Acer EZ321Q wi 31.5"" Full HD (1920 x 1080) IPS Monitor (HDMI & VGA Port), White";https://www.amazon.com/Acer-EZ321Q-31-5-Monitor-White/dp/B07YGY3RLN/ref=sr_1_35?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-35;4.3 out of 5 stars;91;169.99
22;LG 24M47VQ 24-Inch LED-lit Monitor, Black;https://www.amazon.com/LG-24M47VQ-24-Inch-LED-lit-Monitor/dp/B00W95RR32/ref=sr_1_37?dchild=1&keywords=monitor&qid=1594132600&s=electronics&sr=1-37;4.4 out of 5 stars;362;99.99
